candidate,attempt,realized_seed,transformed_arcs,effective_status,warm_repetitions,warm_max_first_incumbent,bpc_status,bpc_objective,bpc_bound,bpc_gap,bpc_runtime,compact_status_code,compact_objective,compact_bound,compact_gap,compact_runtime
candidate_004,4,4000020,352,rejected_warm_start,1,,,,,,,,,,,
candidate_005,5,5000023,519,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_006,6,6000026,524,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_007,7,7000029,347,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_008,8,8000032,352,rejected_warm_start,1,,,,,,,,,,,
candidate_009,9,9000035,405,rejected_warm_start,1,,,,,,,,,,,
candidate_010,10,10000038,484,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_011,11,11000041,425,rejected_bpc_gap,2,29.58199977874756,time_limit,0.09437482461055388,-0.23012437378015785,3.438408492198916,1837.5105712413788,,,,,
candidate_012,12,12000044,388,rejected_warm_start,1,,,,,,,,,,,
candidate_013,13,13000047,364,final_cross_solver_bound_contradiction,2,23.977999925613403,optimal,0.10745320210251227,0.10745320210251227,0.0,970.6313664913177,9,0.1121134783003023,-0.05284629133253134,1.4713643010074093,1800.3336808681488
candidate_014,14,14000050,397,rejected_warm_start,1,,,,,,,,,,,
candidate_015,15,15000053,383,rejected_warm_start,1,,,,,,,,,,,
candidate_016,16,16000056,408,rejected_warm_start,1,,,,,,,,,,,
candidate_017,17,17000059,385,rejected_warm_start,1,,,,,,,,,,,
candidate_018,18,18000062,271,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_019,19,19000065,286,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_020,20,20000068,462,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_021,21,21000071,463,rejected_transformed_arc_count,0,,,,,,,,,,,
candidate_022,22,22000074,369,rejected_warm_start,1,,,,,,,,,,,
candidate_023,23,23000077,406,rejected_bpc_gap,2,21.5310001373291,time_limit_no_incumbent,,-0.175838970400928,,1802.375593662262,,,,,
candidate_024,24,24000080,438,performance_selection_certified,2,35.51300001144409,time_limit,0.08842455901725274,0.0852138484506155,0.0363101676991207,1802.1039366722107,9,0.08838164300260498,-0.07971621761853842,1.9019544659991086,1800.3541724681854
