case_id,scale,variant,distribution,seed,customers,trucks,hubs,drones_per_truck,total_drones,status,solver_status,objective_full,gap,runtime_seconds,nodes_processed,rmp_solves,standard_pricing_calls,farkas_pricing_calls,columns_added_standard,columns_added_farkas,sr_cuts_added,total_routes,rmp_time,standard_pricing_time,farkas_pricing_time,heuristic_time,selected_trucks,drone_sorties,service_feasible,mean_delay,max_delay,mean_wait_time,max_wait_time,error
small_full_PS_seed_1,small,full,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,3.486257791519165,1,12,12,0,11,0,0,17,0.06761741638183594,1.2755823135375977,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,
small_no_pricing_pruning_PS_seed_1,small,no_pricing_pruning,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,5.400191783905029,1,12,12,0,11,0,0,17,0.1091313362121582,3.048794746398926,0.0,0.0,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,
small_no_root_extraction_PS_seed_1,small,no_root_extraction,PS,1,5,2,2,4,8,optimal,optimal,0.05105000973148316,0.0,2.0043017864227295,1,15,14,1,13,1,0,19,0.0859220027923584,1.3181135654449463,0.5258862972259521,0.0050182342529296875,1,0,True,23.919258531479166,65.88437105085663,0.0,0.0,
small_full_PS_seed_2,small,full,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,1.1183738708496094,1,5,5,0,4,0,0,10,0.025027990341186523,0.1338803768157959,0.0,0.0,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,
small_no_pricing_pruning_PS_seed_2,small,no_pricing_pruning,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,1.2996001243591309,1,5,5,0,4,0,0,10,0.03618359565734863,0.24364829063415527,0.0,0.0,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,
small_no_root_extraction_PS_seed_2,small,no_root_extraction,PS,2,5,2,2,4,8,optimal,optimal,0.10150887105676384,0.0,0.34618210792541504,1,7,6,1,5,1,0,11,0.039492130279541016,0.17958498001098633,0.07104873657226562,0.004543781280517578,1,0,True,39.86503136528419,62.74113931055723,0.0,0.0,
medium_full_PS_seed_1,medium,full,PS,1,15,5,2,4,20,time_limited_external,time_limited_external,,,900.0493364334106,,,,,,,,,,,,,,,,,,,,worker exceeded external timeout of 900.0 seconds
medium_full_PS_seed_2,medium,full,PS,2,15,5,2,4,20,time_limited_external,time_limited_external,,,900.0235855579376,,,,,,,,,,,,,,,,,,,,worker exceeded external timeout of 900.0 seconds
large_full_PS_seed_1,large,full,PS,1,25,8,2,4,32,error,error,,,432.27545738220215,,,,,,,,,,,,,,,,,,,,ValueError('route violates truck payload')
large_full_PS_seed_2,large,full,PS,2,25,8,2,4,32,time_limited_external,time_limited_external,,,900.059684753418,,,,,,,,,,,,,,,,,,,,worker exceeded external timeout of 900.0 seconds
